export_value,balance_value
1114,-101985
2876,-15254
0,-698
0,-251
920,-19976
23,-18256
0,-3814
0,-29118
22705,8059
0,-491
0,-185
0,-119
484,-4794
0,-1632
2408,-12559
0,-975
0,-15800
0,-15661
0,-2874
34,-10823
13,-3
0,-2884
0,-131
0,-2440
0,-66
234,-63
0,-503
109,109
0,-547
0,-696
0,-9086
0,-153
0,5
0,-415
0,-81
3,3
38,-850
6,-5710
0,-74
0,-7404
19470,9284
0,3783
0,-118622
2336,1282
8,-6580
0,-742
6,271
0,-576
0,-3779
0,-2138
18,-108786
0,-7733
0,-73329
516,4912
0,-187
0,5772
0,-9795
0,-2769244
0,-764
0,27072
0,-210127
0,3160
0,-6850
0,-1164509
0,-2155030
0,-153498
0,-66472
0,-108863
0,-19484
8178,402779
2854,-126451
0,-3725
0,-173
38,-291280
218,218
0,-716
0,-2365
0,-4101
32,168
0,-103691
0,-3489
0,-12715
0,-36
0,-868
0,-1631
0,-4224
0,-453
0,974
0,-6196
0,-1394
0,-58
0,-20
0,-23725
0,-15601
6720,6979
28755,28370
0,-126
0,-596
6,-193782
0,-678
0,2805
0,3824
3753,-80170
2,-10191
45,-12390
0,-20646
290,-2765
0,-273101
0,-445
8,19437
53,-115220
5971,-51
2096,-2086567
0,-12718
12,-547
1318,-566043
1508,6168
0,-86
0,-14352
0,-3121
0,-7479
0,357
0,4853
0,-3757
0,9
0,-4403
19,-1159
0,-2877
0,6385
0,-1163
14,-2686
0,-199
1868,-134786
0,-303
0,-1917
0,-7871
0,-19752
0,-3968
7,-28463
0,-51288
0,-3171
0,-413
0,-188
0,-653
127,-11221
8,-1124
21,15460
0,-22738
15,-17619
0,-54
498,-960
24,-2346
0,-3162
0,688
0,-33
0,-9280
62,-5843
0,23
52,-996
173,-312
60418,-1085715
353352,229030
13447,14706
0,2780
1062,-289249
36,-258250
663,-6878
368988,215407
676325,-7200935
24260,-1439407
423775,-76570
647,-577
0,-5982
295,2129
384,-147913
525,525
6791,-57846
0,-47578
9,-11300
89662,92017
1204,-17311
245,263
3897,1506
3962,-448581
432251,-771850
0,-61514
3546,-7764
693074,49623
69,-19854
905630,-9091
29293,26828
34240,-11566
1315,-25281
0,-5189
222472,49965
14145,-2540
0,-1891
0,1955
0,-341
0,-19
0,-669
0,-180
0,0
1972,-1295
0,-137644
8,-47803
0,-3954
17,-10097
0,-13070
5187,-116443
16,-3814
1474,-5060
0,-1449
0,-10188
34172,-598096
0,-15719
0,-51178
0,-4974
0,-13712
340,-44168
15855,-315573
406,-507334
29305,-7460
0,-170
0,-9
0,-8275
0,-6912
0,-83371
0,-689200
0,-13766
0,-4397
28,-12449
3803,-4349
0,40069
0,-7192
134170,84552
0,791
310,-11
0,-2328
22277,-915361
0,-34053
0,39909
0,-86
13857,3696
6938391,4231536
366,-13247
425,-99507
1827,-13187
89,503
1698,-25777
0,-12621
0,-7683
0,-12644
2851,-112081
314,-9279
0,2883
0,-2470
0,-1232
0,299
0,990
0,-357
0,-85
9,-17459
0,-3542
0,-13397
629,6922
1304,-253
20025,-459059
6930,-6111
24803,-58252
227,-117775
1789,-184084
0,-47239
1226,-56790
49,-93031
0,-4337
39430,-288843
0,244
0,-140
0,-102865
0,-184
1127,-446484
0,-45145
931,-2985
387,-9669
0,-50978
8546,-353704
0,-37765
32182,-896289
0,2229
2042529,1671518
0,-6175
187648,-88192
4581,-10606
8529,-425552
0,-79742
68669,-711665
470,-999087
29,-8856
0,-171947
0,-68631
0,-28052
20188,-265162
0,-8327
4231,-10214
40,-33890
34548,-268247
97749,-68596
0,-4145
1573,-79814
18824,16944
92279,-258131
1401,-22995
158,-13431
32474,60165
4285,3972
250,-197
0,-15221
236301,-104480
0,-7334
0,-17316
446,-53927
1680,-552936
412,-80794
0,-8526
8,-21369
784,-5092
2918,-25219
0,-2709
0,-4960
